,chars,numbers,frequencies
0,g,75,0.13274336283185842
1,q,47,0.0831858407079646
2,u,46,0.08141592920353982
3,v,44,0.07787610619469026
4,p,38,0.06725663716814159
5,c,36,0.06371681415929203
6,k,35,0.061946902654867256
7,n,34,0.06017699115044248
8,t,31,0.05486725663716814
9,f,29,0.05132743362831858
10,w,28,0.049557522123893805
11,e,20,0.035398230088495575
12,j,17,0.03008849557522124
13,i,15,0.02654867256637168
14,y,13,0.023008849557522124
15,x,10,0.017699115044247787
16,r,8,0.01415929203539823
17,d,8,0.01415929203539823
18,o,7,0.012389380530973451
19,a,6,0.010619469026548672
20,h,6,0.010619469026548672
21,b,3,0.005309734513274336
22,z,3,0.005309734513274336
23,s,3,0.005309734513274336
24,m,3,0.005309734513274336
