,chars,numbers,frequencies
0,o,77,0.13628318584070798
1,y,49,0.08672566371681416
2,d,47,0.0831858407079646
3,b,46,0.08141592920353982
4,c,43,0.07610619469026549
5,k,34,0.06017699115044248
6,x,33,0.0584070796460177
7,s,31,0.05486725663716814
8,v,27,0.047787610619469026
9,n,26,0.04601769911504425
10,i,19,0.033628318584070796
11,m,19,0.033628318584070796
12,e,17,0.03008849557522124
13,r,17,0.03008849557522124
14,l,13,0.023008849557522124
15,z,12,0.021238938053097345
16,w,11,0.019469026548672566
17,p,11,0.019469026548672566
18,g,8,0.01415929203539823
19,f,7,0.012389380530973451
20,q,6,0.010619469026548672
21,j,4,0.007079646017699115
22,h,3,0.005309734513274336
23,u,3,0.005309734513274336
24,a,2,0.0035398230088495575
