,chars,numbers,frequencies
0,µ¬,61,0.02160056657223796
1,©√,60,0.021246458923512748
2,¬©,50,0.017705382436260624
3,Ωœ,46,0.016288951841359773
4,πœ,45,0.01593484419263456
5,∫µ,45,0.01593484419263456
6,œ©,38,0.013456090651558074
7,©ƒ,36,0.012747875354107648
8,∫©,35,0.012393767705382436
9,√©,35,0.012393767705382436
10,œµ,33,0.011685552407932011
11,©µ,32,0.0113314447592068
12,√Ω,30,0.010623229461756374
13,©∫,28,0.009915014164305949
14,µΩ,28,0.009915014164305949
15,åœ,28,0.009915014164305949
16,å∂,27,0.009560906515580737
17,πµ,27,0.009560906515580737
18,å®,27,0.009560906515580737
19,µ÷,25,0.008852691218130312
20,µ©,24,0.0084985835694051
21,©œ,24,0.0084985835694051
22,∫≥,24,0.0084985835694051
23,ƒΩ,24,0.0084985835694051
24,≤©,24,0.0084985835694051
25,©å,23,0.008144475920679886
26,å√,23,0.008144475920679886
27,√∫,23,0.008144475920679886
28,ƒå,23,0.008144475920679886
29,®π,22,0.007790368271954674
30,µ≠,22,0.007790368271954674
31,ƒπ,22,0.007790368271954674
32,µπ,22,0.007790368271954674
33,åµ,22,0.007790368271954674
34,Ω√,22,0.007790368271954674
35,œƒ,22,0.007790368271954674
36,≥ƒ,21,0.007436260623229462
37,∫å,21,0.007436260623229462
38,µå,20,0.007082152974504249
39,Ω≥,20,0.007082152974504249
40,©∂,20,0.007082152974504249
41,©©,20,0.007082152974504249
42,∂Ω,19,0.006728045325779037
43,å∫,19,0.006728045325779037
44,÷Ω,19,0.006728045325779037
45,®©,18,0.006373937677053824
46,π∫,18,0.006373937677053824
47,®Ω,18,0.006373937677053824
48,ß≥,17,0.0060198300283286115
49,Ωµ,17,0.0060198300283286115
50,œ∫,17,0.0060198300283286115
51,Ω∫,17,0.0060198300283286115
52,ΩΩ,16,0.0056657223796034
53,∫∫,16,0.0056657223796034
54,√π,16,0.0056657223796034
55,ƒ©,16,0.0056657223796034
56,©≤,15,0.005311614730878187
57,√å,15,0.005311614730878187
58,≠∫,15,0.005311614730878187
59,ß©,15,0.005311614730878187
60,∫π,15,0.005311614730878187
61,≥∫,14,0.004957507082152974
62,≥®,14,0.004957507082152974
63,π®,14,0.004957507082152974
64,≥√,14,0.004957507082152974
65,®®,14,0.004957507082152974
66,®≠,14,0.004957507082152974
67,©®,13,0.004603399433427762
68,∂©,13,0.004603399433427762
69,œå,13,0.004603399433427762
70,Ω∆,13,0.004603399433427762
71,∆Ω,13,0.004603399433427762
72,≈®,13,0.004603399433427762
73,©ß,13,0.004603399433427762
74,≥˚,12,0.00424929178470255
75,¬å,12,0.00424929178470255
76,√µ,12,0.00424929178470255
77,∫Ω,12,0.00424929178470255
78,πΩ,11,0.003895184135977337
79,Ω÷,11,0.003895184135977337
80,πƒ,11,0.003895184135977337
81,Ωπ,11,0.003895184135977337
82,µµ,11,0.003895184135977337
83,®∫,11,0.003895184135977337
84,åπ,10,0.0035410764872521247
85,∂∂,10,0.0035410764872521247
86,≈å,10,0.0035410764872521247
87,Ωƒ,10,0.0035410764872521247
88,÷©,10,0.0035410764872521247
89,¡©,10,0.0035410764872521247
90,œ˚,10,0.0035410764872521247
91,¬π,10,0.0035410764872521247
92,©∆,10,0.0035410764872521247
93,Ω∑,10,0.0035410764872521247
94,©Ω,10,0.0035410764872521247
95,µ∫,9,0.003186968838526912
96,˚å,9,0.003186968838526912
97,åß,9,0.003186968838526912
98,∑≈,9,0.003186968838526912
99,å≠,9,0.003186968838526912
100,≠µ,9,0.003186968838526912
101,∂¬,9,0.003186968838526912
102,ƒµ,9,0.003186968838526912
103,π∂,9,0.003186968838526912
104,≈√,9,0.003186968838526912
105,©≈,9,0.003186968838526912
106,œ≥,8,0.0028328611898017
107,å∑,8,0.0028328611898017
108,∑©,8,0.0028328611898017
109,ƒß,8,0.0028328611898017
110,∑Ω,8,0.0028328611898017
111,≥µ,8,0.0028328611898017
112,≥å,8,0.0028328611898017
113,≥œ,8,0.0028328611898017
114,÷¬,8,0.0028328611898017
115,¬√,8,0.0028328611898017
116,©π,8,0.0028328611898017
117,∆π,8,0.0028328611898017
