,chars,numbers,frequencies
0,tce,46,0.016294721927027984
1,ase,20,0.007084661707403472
2,olr,19,0.006730428622033298
3,lra,19,0.006730428622033298
4,tga,17,0.0060219624512929506
5,eho,14,0.00495926319518243
6,isr,14,0.00495926319518243
7,est,13,0.004605030109812256
8,otc,12,0.004250797024442083
9,ehi,12,0.004250797024442083
10,ntm,12,0.004250797024442083
11,eha,12,0.004250797024442083
12,wlb,11,0.0038965639390719092
13,ern,11,0.0038965639390719092
14,idd,11,0.0038965639390719092
15,etc,10,0.003542330853701736
16,ehe,10,0.003542330853701736
17,iuu,9,0.003188097768331562
18,eoo,9,0.003188097768331562
19,aso,9,0.003188097768331562
20,rim,9,0.003188097768331562
21,xeh,9,0.003188097768331562
22,set,9,0.003188097768331562
23,cew,9,0.003188097768331562
24,dns,8,0.0028338646829613886
25,eve,8,0.0028338646829613886
26,rno,8,0.0028338646829613886
27,tar,8,0.0028338646829613886
28,nsb,8,0.0028338646829613886
29,ceh,8,0.0028338646829613886
30,veh,8,0.0028338646829613886
31,oeu,8,0.0028338646829613886
32,iuk,8,0.0028338646829613886
33,aoe,8,0.0028338646829613886
34,aas,8,0.0028338646829613886
35,loe,7,0.002479631597591215
36,oeh,7,0.002479631597591215
37,haa,7,0.002479631597591215
38,aat,7,0.002479631597591215
39,uue,7,0.002479631597591215
40,ueo,7,0.002479631597591215
41,nas,7,0.002479631597591215
42,ota,7,0.002479631597591215
43,ari,7,0.002479631597591215
44,mot,7,0.002479631597591215
45,ote,7,0.002479631597591215
46,che,7,0.002479631597591215
47,eul,7,0.002479631597591215
48,ulh,7,0.002479631597591215
49,lhn,7,0.002479631597591215
50,hnt,7,0.002479631597591215
51,lid,7,0.002479631597591215
52,ceo,7,0.002479631597591215
53,rns,7,0.002479631597591215
54,ihe,7,0.002479631597591215
55,nst,7,0.002479631597591215
56,yah,7,0.002479631597591215
57,oer,7,0.002479631597591215
58,oti,7,0.002479631597591215
59,det,6,0.0021253985122210413
60,nsl,6,0.0021253985122210413
61,slj,6,0.0021253985122210413
62,vld,6,0.0021253985122210413
63,lds,6,0.0021253985122210413
64,dse,6,0.0021253985122210413
65,seh,6,0.0021253985122210413
66,hiw,6,0.0021253985122210413
67,iwn,6,0.0021253985122210413
68,wnd,6,0.0021253985122210413
69,ndn,6,0.0021253985122210413
70,dnt,6,0.0021253985122210413
71,npf,6,0.0021253985122210413
72,pfi,6,0.0021253985122210413
73,sot,6,0.0021253985122210413
74,tma,6,0.0021253985122210413
75,yal,6,0.0021253985122210413
76,alh,6,0.0021253985122210413
77,tns,6,0.0021253985122210413
78,eua,6,0.0021253985122210413
79,nso,6,0.0021253985122210413
80,tiu,6,0.0021253985122210413
81,atc,6,0.0021253985122210413
82,eri,6,0.0021253985122210413
83,ave,6,0.0021253985122210413
84,qli,6,0.0021253985122210413
85,idm,6,0.0021253985122210413
86,dmo,6,0.0021253985122210413
87,ejf,6,0.0021253985122210413
88,jfd,6,0.0021253985122210413
89,itn,6,0.0021253985122210413
90,eol,6,0.0021253985122210413
91,fda,6,0.0021253985122210413
92,nse,6,0.0021253985122210413
93,aht,6,0.0021253985122210413
94,eas,6,0.0021253985122210413
95,tch,6,0.0021253985122210413
96,axe,6,0.0021253985122210413
97,eih,5,0.001771165426850868
98,iha,5,0.001771165426850868
99,cev,5,0.001771165426850868
100,ipe,5,0.001771165426850868
101,per,5,0.001771165426850868
102,erw,5,0.001771165426850868
103,soi,5,0.001771165426850868
104,rnt,5,0.001771165426850868
105,iut,5,0.001771165426850868
106,aot,5,0.001771165426850868
107,tna,5,0.001771165426850868
108,tid,5,0.001771165426850868
109,tge,5,0.001771165426850868
110,ges,5,0.001771165426850868
111,stm,5,0.001771165426850868
112,ves,5,0.001771165426850868
113,isi,5,0.001771165426850868
114,dag,5,0.001771165426850868
115,ter,5,0.001771165426850868
116,gcn,5,0.001771165426850868
117,nre,5,0.001771165426850868
118,etg,5,0.001771165426850868
119,uap,5,0.001771165426850868
120,sio,5,0.001771165426850868
121,nou,5,0.001771165426850868
122,her,5,0.001771165426850868
123,ans,5,0.001771165426850868
124,dan,5,0.001771165426850868
125,ant,5,0.001771165426850868
126,ual,5,0.001771165426850868
127,uas,5,0.001771165426850868
128,ast,5,0.001771165426850868
129,hei,5,0.001771165426850868
130,stc,5,0.001771165426850868
131,eya,5,0.001771165426850868
132,htc,5,0.001771165426850868
133,rtc,5,0.001771165426850868
134,hee,5,0.001771165426850868
135,gax,5,0.001771165426850868
136,enb,5,0.001771165426850868
137,nbc,5,0.001771165426850868
138,bct,5,0.001771165426850868
139,oet,5,0.001771165426850868
140,sri,5,0.001771165426850868
141,eoe,5,0.001771165426850868
142,mei,4,0.0014169323414806943
143,bin,4,0.0014169323414806943
144,ins,4,0.0014169323414806943
145,ved,4,0.0014169323414806943
146,oot,4,0.0014169323414806943
147,evl,4,0.0014169323414806943
148,wih,4,0.0014169323414806943
149,has,4,0.0014169323414806943
150,oip,4,0.0014169323414806943
151,fiu,4,0.0014169323414806943
152,not,4,0.0014169323414806943
