,chars,numbers,frequencies
0,e,356,0.12601769911504423
1,t,257,0.09097345132743363
2,o,241,0.08530973451327434
3,∫,215,0.07610619469026549
4,a,202,0.07150442477876107
5,π,181,0.06407079646017699
6,œ,175,0.061946902654867256
7,√,164,0.05805309734513275
8,ƒ,126,0.04460176991150443
9,®,125,0.04424778761061947
10,≥,120,0.04247787610619469
11,h,99,0.035044247787610616
12,∂,94,0.03327433628318584
13,≠,63,0.022300884955752213
14,b,59,0.02088495575221239
15,≈,56,0.01982300884955752
16,w,56,0.01982300884955752
17,∆,49,0.017345132743362832
18,∑,48,0.016991150442477877
19,˚,41,0.014513274336283187
20,≤,41,0.014513274336283187
21,†,17,0.006017699115044248
22,«,16,0.005663716814159292
23,z,13,0.004601769911504424
24,q,8,0.002831858407079646
25,ø,3,0.0010619469026548673
