,chars,numbers,frequencies
0,th,61,0.0215929203539823
1,er,60,0.021238938053097345
2,he,50,0.017699115044247787
3,on,46,0.016283185840707964
4,in,45,0.01592920353982301
5,st,45,0.01592920353982301
6,ne,38,0.013451327433628318
7,ed,36,0.012743362831858408
8,se,35,0.012389380530973451
9,re,35,0.012389380530973451
10,nt,33,0.01168141592920354
11,et,32,0.011327433628318584
12,ro,30,0.010619469026548672
13,es,28,0.00991150442477876
14,to,28,0.00991150442477876
15,an,28,0.00991150442477876
16,ac,27,0.009557522123893806
17,it,27,0.009557522123893806
18,al,27,0.009557522123893806
19,tw,25,0.008849557522123894
20,te,24,0.008495575221238939
21,en,24,0.008495575221238939
22,su,24,0.008495575221238939
23,do,24,0.008495575221238939
24,ve,24,0.008495575221238939
25,ea,23,0.008141592920353982
26,ar,23,0.008141592920353982
27,rs,23,0.008141592920353982
28,da,23,0.008141592920353982
29,li,22,0.007787610619469027
30,ty,22,0.007787610619469027
31,di,22,0.007787610619469027
32,ti,22,0.007787610619469027
33,at,22,0.007787610619469027
34,or,22,0.007787610619469027
35,nd,22,0.007787610619469027
36,ud,21,0.007433628318584071
37,sa,21,0.007433628318584071
38,ta,20,0.007079646017699115
39,ou,20,0.007079646017699115
40,ec,20,0.007079646017699115
41,ee,20,0.007079646017699115
42,co,19,0.006725663716814159
43,as,19,0.006725663716814159
44,wo,19,0.006725663716814159
45,le,18,0.006371681415929204
46,is,18,0.006371681415929204
47,lo,18,0.006371681415929204
48,bu,17,0.006017699115044248
49,ot,17,0.006017699115044248
50,ns,17,0.006017699115044248
51,os,17,0.006017699115044248
52,oo,16,0.005663716814159292
53,ss,16,0.005663716814159292
54,ri,16,0.005663716814159292
55,de,16,0.005663716814159292
56,ev,15,0.005309734513274336
57,ra,15,0.005309734513274336
58,ys,15,0.005309734513274336
59,be,15,0.005309734513274336
60,si,15,0.005309734513274336
61,us,14,0.00495575221238938
62,ul,14,0.00495575221238938
63,il,14,0.00495575221238938
64,ur,14,0.00495575221238938
65,ll,14,0.00495575221238938
66,ly,14,0.00495575221238938
67,el,13,0.004601769911504424
68,ce,13,0.004601769911504424
69,na,13,0.004601769911504424
70,of,13,0.004601769911504424
71,fo,13,0.004601769911504424
72,≈l,13,0.004601769911504424
73,eb,13,0.004601769911504424
74,ug,12,0.004247787610619469
75,ha,12,0.004247787610619469
76,rt,12,0.004247787610619469
77,so,12,0.004247787610619469
78,io,11,0.0038938053097345134
79,ow,11,0.0038938053097345134
80,id,11,0.0038938053097345134
81,oi,11,0.0038938053097345134
82,tt,11,0.0038938053097345134
83,ls,11,0.0038938053097345134
84,ai,10,0.0035398230088495575
85,cc,10,0.0035398230088495575
86,≈a,10,0.0035398230088495575
87,od,10,0.0035398230088495575
88,we,10,0.0035398230088495575
89,ze,10,0.0035398230088495575
90,ng,10,0.0035398230088495575
91,hi,10,0.0035398230088495575
92,ef,10,0.0035398230088495575
93,o∑,10,0.0035398230088495575
94,eo,10,0.0035398230088495575
95,ts,9,0.003185840707964602
96,ga,9,0.003185840707964602
97,ab,9,0.003185840707964602
98,∑≈,9,0.003185840707964602
99,ay,9,0.003185840707964602
100,yt,9,0.003185840707964602
101,ch,9,0.003185840707964602
102,dt,9,0.003185840707964602
103,ic,9,0.003185840707964602
104,≈r,9,0.003185840707964602
105,e≈,9,0.003185840707964602
106,nu,8,0.002831858407079646
107,a∑,8,0.002831858407079646
108,∑e,8,0.002831858407079646
109,db,8,0.002831858407079646
110,∑o,8,0.002831858407079646
111,ut,8,0.002831858407079646
112,ua,8,0.002831858407079646
113,un,8,0.002831858407079646
114,wh,8,0.002831858407079646
115,hr,8,0.002831858407079646
116,ei,8,0.002831858407079646
117,fi,8,0.002831858407079646
118,qu,8,0.002831858407079646
119,ck,8,0.002831858407079646
120,ld,7,0.00247787610619469
121,ux,7,0.00247787610619469
122,bi,7,0.00247787610619469
123,i∑,7,0.00247787610619469
124,ct,7,0.00247787610619469
125,tr,7,0.00247787610619469
126,ru,7,0.00247787610619469
127,sc,7,0.00247787610619469
128,ov,7,0.00247787610619469
129,cu,7,0.00247787610619469
130,ex,7,0.00247787610619469
131,vi,7,0.00247787610619469
132,ol,6,0.0021238938053097347
133,ds,6,0.0021238938053097347
134,la,6,0.0021238938053097347
135,vu,6,0.0021238938053097347
136,ln,6,0.0021238938053097347
137,ba,6,0.0021238938053097347
138,ca,6,0.0021238938053097347
139,yo,6,0.0021238938053097347
140,∑a,6,0.0021238938053097347
141,ge,6,0.0021238938053097347
142,ft,6,0.0021238938053097347
143,sb,6,0.0021238938053097347
144,tc,6,0.0021238938053097347
145,iv,6,0.0021238938053097347
146,if,6,0.0021238938053097347
147,ir,6,0.0021238938053097347
148,wa,6,0.0021238938053097347
149,ht,6,0.0021238938053097347
150,x≈,6,0.0021238938053097347
151,ke,6,0.0021238938053097347
152,ho,6,0.0021238938053097347
153,ni,6,0.0021238938053097347
154,oe,6,0.0021238938053097347
155,ig,6,0.0021238938053097347
156,oz,6,0.0021238938053097347
157,gh,6,0.0021238938053097347
158,sf,6,0.0021238938053097347
159,ye,5,0.0017699115044247787
160,ob,5,0.0017699115044247787
161,tl,5,0.0017699115044247787
162,e∑,5,0.0017699115044247787
163,yw,5,0.0017699115044247787
164,ie,5,0.0017699115044247787
165,no,5,0.0017699115044247787
166,s≈,5,0.0017699115044247787
167,eh,5,0.0017699115044247787
168,fe,5,0.0017699115044247787
169,≈o,5,0.0017699115044247787
170,yf,5,0.0017699115044247787
171,o≈,5,0.0017699115044247787
172,gs,5,0.0017699115044247787
173,n∑,5,0.0017699115044247787
174,≈e,5,0.0017699115044247787
175,rl,4,0.001415929203539823
176,tu,4,0.001415929203539823
177,yi,4,0.001415929203539823
178,oa,4,0.001415929203539823
179,a≈,4,0.001415929203539823
180,cv,4,0.001415929203539823
181,sd,4,0.001415929203539823
182,au,4,0.001415929203539823
